TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
0,0,58,3,0,,6000,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,22,3,1,,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,,0
1,0,43,6,0,,11000,,1,0,0,1,0,1,0,,0,0,0,0,0,1,0
0,1,50,3,0,,4000,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,70,0,1,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,1,57,2,1,,9200,,1,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,59,3,1,,4000,,0,0,1,0,0,1,1,1,0,0,0,1,0,,0
1,1,30,3,1,,6000,0,1,0,1,0,0,0,0,,0,0,1,0,0,0,0
0,0,27,3,1,30,4000,0,1,0,1,0,0,0,1,,0,1,1,0,0,0,0
1,0,31,3,0,30,6000,,1,0,1,0,0,0,0,,0,0,0,0,0,0,0
0,1,73,2,1,20,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,54,2,1,,2000,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,27,6,1,20,4000,,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
0,0,32,6,0,,0,,0,0,0,1,0,0,0,,0,0,0,0,0,,0
1,1,48,5,1,,8000,,1,0,0,1,0,0,0,,0,1,0,0,0,0,0
1,0,18,6,1,,800,,1,0,0,1,0,0,0,,0,1,1,0,0,,0
1,1,41,3,1,30,7200,0,0,0,1,0,0,1,1,,0,0,0,0,0,1,0
1,0,39,6,1,0,6200,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0
1,0,37,3,0,30,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,,0
0,1,56,6,1,,7200,0,0,0,0,1,0,1,0,,0,0,0,0,0,1,0
0,1,19,6,0,,9200,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0,0,20,6,1,,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,46,2,0,15,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
0,1,64,8,0,20,10000,0,1,0,0,0,1,0,1,,0,0,0,0,0,,0
1,1,29,2,0,,8000,,1,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,34,3,0,,0,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,63,2,0,,0,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,67,2,0,,3200,,0,1,0,0,0,1,0,,0,0,0,0,0,0,0
1,1,24,2,0,,4800,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,37,3,0,,0,,0,0,1,0,0,1,0,,0,0,0,0,0,1,0
0,1,74,3,1,20,6000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,49,3,0,,4000,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,57,2,0,,0,0,1,1,0,0,0,0,1,,0,0,0,0,0,,0
1,0,31,3,1,20,300,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
